product_id,customer_id,rating
52463,10469,2
37705,36574,5
69988,61572,1
3200,78961,3
64164,15665,3
18994,37054,3
86332,8430,3
40291,15148,1
4288,67171,5
63523,25262,1
45304,79183,4
81771,46892,4
9428,69613,5
59503,2802,3
77617,67067,5
51424,57149,1
50532,66031,3
50453,11632,3
62039,88369,1
47055,97530,4
71399,1352,1
51480,50392,3
91541,1785,5
6696,45578,1
49922,77928,2
6763,30682,1
20709,69222,3
74380,74845,4
51427,73034,2
89603,90259,1
41626,47482,5
43478,21177,4
94675,66031,4
98239,48078,1
7696,58675,3
48922,1802,1
5850,10707,4
51572,9740,5
5246,69289,5
36147,71618,1
2568,61016,3
95763,24132,2
46845,21289,2
88423,78834,2
5845,83999,3
1694,14654,1
68623,83371,3
31623,8507,2
74967,89716,1
36450,73314,4
96735,83848,2
69333,896,2
37436,71267,1
31701,54575,5
71119,77825,1
44938,94995,4
61316,12220,3
485,63311,5
96127,55607,2
98836,75788,2
13011,79183,4
45704,13518,2
59367,21332,1
70071,67031,2
22753,83155,5
72671,74912,2
20132,47873,1
5209,91108,4
17312,84630,4
92738,97874,5
3306,3238,1
99753,47182,1
28048,44897,3
98836,43717,4
94545,44781,2
18775,75353,4
87728,1925,4
42343,68145,5
28130,37791,5
5171,49537,5
81771,73226,2
95490,16671,2
87142,71760,5
94952,49505,2
53701,79303,3
71579,70911,5
83945,31386,4
65293,23021,5
55396,80426,1
96127,98610,3
86455,7664,3
15723,24075,2
49033,87663,3
46995,77701,4
22811,12220,1
43409,90230,2
13577,23762,5
89140,23641,1
74251,78715,2
54778,13988,5
55156,61567,4
93738,18130,3
41408,12385,2
28692,95515,3
28305,77103,3
45321,6844,4
64366,88371,1
11026,33699,5
90260,108,4
89562,43506,4
94964,53142,5
84428,23557,5
7069,8607,5
83101,84276,2
55124,79968,4
77719,69617,5
12472,39477,1
4848,8494,1
21315,39651,4
9847,25811,1
62446,54384,1
69225,76385,4
49154,92122,1
82822,62964,3
11853,93540,1
47852,63281,2
71434,93462,3
10515,79080,1
83744,57706,2
21315,20740,4
65266,22653,4
53927,661,1
78793,50901,1
9696,85314,3
5256,34876,1
86464,14615,1
9030,71691,3
3921,10615,5
46294,44214,2
22750,61567,3
29045,75226,1
23284,73226,3
51026,47182,3
71434,3837,4
46206,414,3
72286,29667,1
21262,57228,2
21647,41156,1
15228,15502,2
19173,44476,5
74582,28390,2
5548,45684,4
46424,96913,3
68578,45204,1
73471,89266,5
1890,70467,2
66052,73795,2
60576,13899,5
57851,96588,4
94927,97053,5
83740,17405,2
1250,33485,2
46263,32560,5
13426,91277,5
96488,99145,5
35542,4929,2
89337,23437,5
95284,73503,4
91025,12223,3
94913,85519,5
82985,52769,2
53471,87639,2
2019,3759,1
81008,61607,4
76328,30960,2
7609,95406,5
62927,37054,2
37604,52536,4
15348,36777,1
5171,85826,3
55192,84526,4
68432,89360,5
85171,10837,1
53927,28094,5
74136,70493,4
82985,27105,5
80362,43808,5
84670,61567,1
12472,39651,1
31685,98839,1
63523,1925,5
91827,90395,1
48879,51950,5
57998,91391,1
92072,42391,2
18609,23684,3
35300,90813,3
61637,86872,2
87086,60663,2
10887,93721,4
40624,51396,3
18919,66308,2
15821,93721,1
33836,36443,2
90768,30247,5
97849,62858,5
56831,65038,3
33039,23315,4
27742,65451,2
99398,85114,3
51090,13899,4
29442,62417,3
40384,64312,1
40291,2608,1
78306,47196,2
49688,15358,1
41876,50358,3
54239,70839,2
45053,51690,5
81529,97874,3
27409,75798,5
12467,18130,5
74342,89108,2
52315,59729,1
71897,27119,4
71399,65601,2
67380,86474,5
92217,70154,5
41298,14654,4
78693,50901,4
16158,18152,4
42076,88106,2
93992,22443,5
60576,60262,1
40175,72985,5
35159,84861,2
93392,32453,3
4168,35736,5
33502,96588,5
94913,65539,5
13011,46369,4
48392,30379,3
91294,25262,5
94073,67824,3
87728,20576,3
55442,66812,4
42359,88371,1
23900,55384,4
73569,32777,5
28048,77015,2
28109,82289,5
99990,22627,1
66579,17405,1
12879,20581,4
62029,39224,2
83653,55237,5
41876,39734,4
40989,48504,3
5851,9841,1
91325,70380,1
92072,23762,3
75733,65076,4
80184,98878,5
86332,20830,2
83483,77157,3
54574,1585,5
18937,17555,2
66012,52776,1
35424,97807,2
69087,22214,4
36092,44328,1
30937,23685,4
82512,59053,2
9068,47846,2
27934,64407,1
93399,53316,1
43115,17926,1
31669,35176,4
97423,98205,5
70736,89266,3
31109,50537,2
91954,33484,3
80010,59469,5
23284,25395,5
71506,67251,2
37641,10874,1
43644,20684,3
91803,97183,5
70459,89976,4
74136,21939,5
84428,63649,2
19173,10130,4
58053,61896,1
31669,13773,4
78908,76172,3
88752,36742,5
39788,90309,5
99963,94995,2
65505,23992,3
3878,49586,1
28305,28886,1
52072,72068,2
70707,99300,2
62038,27003,5
70569,53340,3
38644,43778,2
3849,81928,2
73527,78464,2
59379,30690,2
76200,25460,5
45612,35011,5
9645,39421,1
8083,54159,3
37308,93540,3
18764,64653,5
57220,84493,1
79497,4588,4
14071,62335,2
4299,97028,2
73779,13597,4
11755,99765,4
99963,44163,1
99,76896,5
98576,59869,2
87286,53743,2
79967,40357,2
47914,97530,2
32675,90395,5
19401,31723,5
47949,3387,1
18021,13773,3
17823,53425,4
48205,8383,5
78793,65518,2
47852,92892,3
10795,9335,3
46019,31635,5
60867,85587,3
6708,85663,5
63332,36410,1
95473,15405,1
9460,69285,3
40016,75693,4
92110,41250,5
1104,25105,1
67032,83451,3
79891,46146,1
21480,61365,4
6414,50098,2
37268,54149,5
90768,58220,1
46333,44328,1
46706,52755,2
30004,91317,3
62982,49810,1
21451,50345,1
12307,8615,1
97552,10954,3
25098,8494,2
81139,97995,3
